EntrezID;EnsemblID;LogFC
400322;ENSG00000140181;-1.029633967
10715;ENSG00000223802;-1.02905953
100505761;ENSG00000269609;-1.027920483
55061;ENSG00000143502;-1.027080687
23433;ENSG00000119729;-1.023696478
5588;ENSG00000065675;-1.021880269
1462;ENSG00000038427;-1.016176129
90673;ENSG00000235194;-1.015321862
81035;ENSG00000158270;-1.013891527
10615;ENSG00000076382;-1.01281688
239;ENSG00000108839;-1.012330426
1164;ENSG00000123975;-1.012247919
10188;ENSG00000061938;-1.006079131
27293;ENSG00000130768;-1.005267165
100996539;ENSG00000231249;-1.004451764
79682;ENSG00000151725;-1.002714834
57664;ENSG00000105559;-1.002465125
2039;ENSG00000158856;-1.001057996
54058;ENSG00000160298;-1.000067733
51360;ENSG00000012174;1.003218256
51676;ENSG00000100628;1.004744851
55829;ENSG00000131871;1.006033248
79957;ENSG00000160781;1.006043524
29995;ENSG00000071282;1.00859151
9213;ENSG00000143324;1.008763143
55243;ENSG00000183853;1.009683074
84230;ENSG00000171488;1.011181509
284217;ENSG00000101680;1.012036105
94241;ENSG00000164938;1.012457692
3037;ENSG00000170961;1.017942643
387914;ENSG00000180730;1.018822945
1821;ENSG00000102385;1.019719192
961;ENSG00000196776;1.020609521
51733;ENSG00000100024;1.021572551
643314;ENSG00000255103;1.022335572
22996;ENSG00000085831;1.027998225
90161;ENSG00000171004;1.028647758
4131;ENSG00000131711;1.029797586
8933;ENSG00000134590;1.034605272
29993;ENSG00000124507;1.036582734
9926;ENSG00000123684;1.037998047
3742;ENSG00000151079;1.03899269
3397;ENSG00000125968;1.040625831
92346;ENSG00000180999;1.041799229
10252;ENSG00000164056;1.042075383
9455;ENSG00000103942;1.044094252
1410;ENSG00000109846;1.044792779
9456;ENSG00000152413;1.044848664
1674;ENSG00000175084;1.044911558
1600;ENSG00000173406;1.045732513
116931;ENSG00000144893;1.046379668
50515;ENSG00000171310;1.046418683
51129;ENSG00000167772;1.048698267
3777;ENSG00000171303;1.049443624
11098;ENSG00000150687;1.052194992
7127;ENSG00000185215;1.053780571
2321;ENSG00000102755;1.054424892
7461;ENSG00000106665;1.054943004
58476;ENSG00000078804;1.055233372
23108;ENSG00000132359;1.057248267
3574;ENSG00000104432;1.057273067
8534;ENSG00000175264;1.057559773
1948;ENSG00000125266;1.061036009
26230;ENSG00000146426;1.062543215
4778;ENSG00000123405;1.062595742
6196;ENSG00000071242;1.063716245
30845;ENSG00000013016;1.070374471
57586;ENSG00000019505;1.07169879
488;ENSG00000174437;1.073858909
441631;ENSG00000110900;1.074037527
55466;ENSG00000140403;1.074046466
1160;ENSG00000131730;1.074272805
10602;ENSG00000163171;1.074942474
7171;ENSG00000167460;1.082469178
1942;ENSG00000169242;1.083009812
9369;ENSG00000021645;1.084271311
201191;ENSG00000167100;1.086721325
56967;ENSG00000227051;1.08983284
340526;ENSG00000242732;1.091400166
388561;ENSG00000160336;1.092581222
100288346;ENSG00000227487;1.093249203
100288346;ENSG00000262033;1.093249203
57458;ENSG00000057704;1.094240374
4208;ENSG00000081189;1.095264773
7287;ENSG00000112041;1.096559218
2845;ENSG00000172209;1.096630799
344558;ENSG00000172985;1.097410294
81563;ENSG00000116667;1.097855747
56603;ENSG00000003137;1.099904949
122786;ENSG00000139926;1.100180452
339366;ENSG00000185761;1.102133295
64101;ENSG00000128594;1.106660051
144699;ENSG00000171823;1.107406338
55824;ENSG00000076641;1.108153203
9118;ENSG00000148798;1.108494764
116442;ENSG00000155961;1.108846843
58494;ENSG00000154721;1.109467538
23406;ENSG00000103187;1.10959783
4320;ENSG00000099953;1.111675243
101928857;ENSG00000249201;1.111787475
4645;ENSG00000167306;1.111806292
148398;ENSG00000187634;1.112472265
64780;ENSG00000135596;1.115482
4824;ENSG00000167034;1.115962948
333;ENSG00000105290;1.121425421
29028;ENSG00000156802;1.12400896
26509;ENSG00000138119;1.12496021
1741;ENSG00000082458;1.125258094
4135;ENSG00000171533;1.126879521
8483;ENSG00000138615;1.127783434
23550;ENSG00000125637;1.127892015
84557;ENSG00000101460;1.12928659
80333;ENSG00000185774;1.129460895
1277;ENSG00000108821;1.130979532
8728;ENSG00000135074;1.131634485
55853;ENSG00000232656;1.133770868
400043;ENSG00000250742;1.134995217
79596;ENSG00000152193;1.13574477
399474;ENSG00000253304;1.135769131
1271;ENSG00000122756;1.135842595
7448;ENSG00000109072;1.137237815
9353;ENSG00000145147;1.138741217
3824;ENSG00000134539;1.138789023
30811;ENSG00000142149;1.138804897
51466;ENSG00000196405;1.139703089
151009;ENSG00000175772;1.141688016
114088;ENSG00000100505;1.142592166
154091;ENSG00000146411;1.142615904
84848;ENSG00000223749;1.144564162
26032;ENSG00000173705;1.146115762
51363;ENSG00000182022;1.146261071
5028;ENSG00000169860;1.149306698
7280;ENSG00000137267;1.150841679
2977;ENSG00000152402;1.152016237
123688;ENSG00000188266;1.152589477
154796;ENSG00000126016;1.15369274
55203;ENSG00000153012;1.153787057
55714;ENSG00000218336;1.155890299
126017;ENSG00000198346;1.156030879
23645;ENSG00000087074;1.158157832
51214;ENSG00000099869;1.160694003
54566;ENSG00000095203;1.162606743
646300;ENSG00000228252;1.16325416
10435;ENSG00000149798;1.163722349
120114;ENSG00000165323;1.16461349
85352;ENSG00000138944;1.165495957
1264;ENSG00000130176;1.167292436
127294;ENSG00000142661;1.17003
406990;ENSG00000199157;1.170209149
7832;ENSG00000159388;1.173620433
7145;ENSG00000079308;1.175416836
54329;ENSG00000164604;1.176259089
3752;ENSG00000171385;1.176814739
3696;ENSG00000105855;1.177123324
90993;ENSG00000157613;1.179428609
1316;ENSG00000067082;1.180021609
51101;ENSG00000104427;1.18153087
84439;ENSG00000182218;1.181535052
2354;ENSG00000125740;1.181962292
23052;ENSG00000149218;1.181981658
400258;ENSG00000184601;1.182122327
150946;ENSG00000157833;1.182739941
10409;ENSG00000176788;1.185471627
5222;ENSG00000256713;1.185583858
1903;ENSG00000213694;1.186359374
10475;ENSG00000112343;1.187732009
5587;ENSG00000184304;1.188654614
1136;ENSG00000080644;1.188976987
187;ENSG00000134817;1.189565924
NA;ENSG00000243701;1.190357305
23148;ENSG00000136274;1.194366634
